# FIELD ID RA DEC
HYDRA-0139 iDR3.HYDRA-0139.010874 153.5914779736975 -43.78733954903977
HYDRA-0139 iDR3.HYDRA-0139.021406 153.2491218521712 -43.66627011629568
HYDRA-0140 iDR3.HYDRA-0140.028823 156.82301270399773 -43.49218676877587
HYDRA-0140 iDR3.HYDRA-0140.039326 155.08146806805263 -43.315682097878565
HYDRA-0140 iDR3.HYDRA-0140.041244 155.74116114189783 -43.28714490549025
HYDRA-0140 iDR3.HYDRA-0140.042751 155.39614481604525 -43.26273142702561
HYDRA-0140 iDR3.HYDRA-0140.063267 155.77549560525188 -42.92360590539076
HYDRA-0140 iDR3.HYDRA-0140.063477 155.60558322901434 -42.9198677481031
HYDRA-0140 iDR3.HYDRA-0140.066165 154.93455223738587 -42.868618020617085
HYDRA-0140 iDR3.HYDRA-0140.072631 156.80128292703978 -42.49183212065216
HYDRA-0140 iDR3.HYDRA-0140.083410 156.83067562755733 -42.64665940127431
HYDRA-0141 iDR3.HYDRA-0141.041587 158.66197102542506 -43.443451959525156
HYDRA-0141 iDR3.HYDRA-0141.084517 158.13105683562222 -43.104525062067076
HYDRA-0142 iDR3.HYDRA-0142.119196 160.01032574117298 -42.640277004693296
HYDRA-0146 iDR3.HYDRA-0146.033482 152.65825843782878 -44.92154924818925
HYDRA-0146 iDR3.HYDRA-0146.102704 152.73550005827877 -44.14499197406063
HYDRA-0147 iDR3.HYDRA-0147.124484 155.0785744034197 -44.13594916386988
HYDRA-0147 iDR3.HYDRA-0147.149839 154.6471019867296 -43.865220484218185
HYDRA-0148 iDR3.HYDRA-0148.051111 156.7560721480087 -44.6992819154981
HYDRA-0148 iDR3.HYDRA-0148.082039 158.2866766963434 -44.34419101427875
HYDRA-0148 iDR3.HYDRA-0148.085340 156.48587355306995 -44.30721870499864
HYDRA-0148 iDR3.HYDRA-0148.118252 158.1409390238882 -43.854788265723684
HYDRA-0149 iDR3.HYDRA-0149.073148 158.6733417394862 -44.465033282625264
HYDRA-0149 iDR3.HYDRA-0149.106792 158.87511312857336 -44.057298951574374
HYDRA-0150 iDR3.HYDRA-0150.148495 161.83076839722887 -43.86789136731411
HYDRA-0151 iDR3.HYDRA-0151.000015 162.46181987131814 -45.27933280239291
HYDRA-0151 iDR3.HYDRA-0151.000130 163.09466881834265 -45.27926078573923
HYDRA-0151 iDR3.HYDRA-0151.043852 164.14163994104857 -44.88637707735251
HYDRA-0151 iDR3.HYDRA-0151.111272 163.10742035866986 -44.24835180117246
HYDRA-0153 iDR3.HYDRA-0153.087099 152.223208781015 -45.91433260959066
